score,review,y
3,개인적으로 맛이나 서비스나 장충점이 더 나음. 그래도 강남에서 이만큼 쾌적하고 분위기 괜찮은데 가격도 나쁘지 않은 곳은 별로 없는 듯,1
2,매콤함,0
3,핏자를 별로 좋아하지는 않지만...먹어본 핏자 중에서는 제일 근사했습니다.,1
3,핏자가 진짜 퐁신하고 쫀득하고 존맛탱 매장안 깔끔합니다 회전율도 나름 빠른듯 포장해와서 먹었는데 가성비도 좋고 맛나요🍕,1
2,미국식 그자체,0
3,아쉽지만 23년 5월 현재 가격은 up 맛은 down 이라 느껴졌습니다... 개인적인 소감이지만 전 더이상 가지 않을 것 같아오...,1
3,,1
4,잘먹고 갑니다~~ 사장님 친절해용!!,1
5,사장님 너무 친절하셨고 피자 가성비가 너무 좋아요,1
4,피자 시킨지 한시간만에 전화와서아직 피자는 안들어갔고 기사가 없어서 더 걸릴것 같다고 하는 피자집. 취소 사유는 '고객요청' 으로 적어놓은게 너무 화나서 적음.,1
3,맛있게 먹었어요,1
3,미스터피자 흥하십시오ㅎㅎ,1
3,피자알볼로 맛잇옹,1
5,피자가 너무나 맛있었구요~ 안에 계신 직원분들도 친절하고 상세히 알려주셔서 너무나 좋았어요!! 다음에 또 올게요^^,1
5,너무너무너무 맛있어요... 잭슨피자 서초점 이제 매장에서도 먹을수있게 바뀌었어요! 원래 도우 끝부분 맛없고 딱딱해서 남기는 편인데 잭슨피자는 엄청 부드러워서 다먹었어요!! 존맛!!!,1
